Formula 1
WalkSAT Run 2: Time=0.3547 seconds, Max satisfied=81
WalkSAT Run 3: Time=0.3508 seconds, Max satisfied=83
WalkSAT Run 4: Time=0.3508 seconds, Max satisfied=83
WalkSAT Run 5: Time=0.3516 seconds, Max satisfied=83
WalkSAT Run 6: Time=0.3482 seconds, Max satisfied=83
WalkSAT Run 7: Time=0.3512 seconds, Max satisfied=81
WalkSAT Run 8: Time=0.3504 seconds, Max satisfied=83
WalkSAT Run 9: Time=0.3565 seconds, Max satisfied=81
WalkSAT Run 10: Time=0.3529 seconds, Max satisfied=83
Genetic Run 1: Time=1.0034 seconds, Flips=83
Genetic Run 2: Time=1.0507 seconds, Flips=82
Genetic Run 3: Time=0.9917 seconds, Flips=82
Genetic Run 4: Time=1.0171 seconds, Flips=82
Genetic Run 5: Time=1.0076 seconds, Flips=82
Genetic Run 6: Time=1.0333 seconds, Flips=83
Genetic Run 7: Time=1.0167 seconds, Flips=82
Genetic Run 8: Time=1.0458 seconds, Flips=81
Genetic Run 9: Time=0.9971 seconds, Flips=83
Genetic Run 10: Time=0.9798 seconds, Flips=82

Formula 7
DPLL: Time=0.0015 seconds, Nodes expanded=13
WalkSAT Run 1: Time=0.3552 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3493 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3488 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3482 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3477 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3499 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3514 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3497 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3401 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3428 seconds, Max satisfied=82
Genetic Run 1: Time=1.0392 seconds, Flips=82
Genetic Run 2: Time=1.0169 seconds, Flips=81
Genetic Run 3: Time=1.0173 seconds, Flips=82
Genetic Run 4: Time=1.0063 seconds, Flips=81
Genetic Run 5: Time=0.9995 seconds, Flips=81
Genetic Run 6: Time=1.0042 seconds, Flips=82
Genetic Run 7: Time=1.0661 seconds, Flips=82
Genetic Run 8: Time=1.0469 seconds, Flips=83
Genetic Run 9: Time=1.0013 seconds, Flips=83
Genetic Run 10: Time=1.0510 seconds, Flips=83

Formula 8
DPLL: Time=0.0071 seconds, Nodes expanded=53
WalkSAT Run 1: Time=0.3607 seconds, Max satisfied=80
WalkSAT Run 2: Time=0.3777 seconds, Max satisfied=80
WalkSAT Run 3: Time=0.3516 seconds, Max satisfied=81
WalkSAT Run 4: Time=0.3523 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3564 seconds, Max satisfied=80
WalkSAT Run 6: Time=0.3572 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3521 seconds, Max satisfied=80
WalkSAT Run 8: Time=0.3575 seconds, Max satisfied=80
WalkSAT Run 9: Time=0.3525 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3487 seconds, Max satisfied=81
Genetic Run 1: Time=1.0053 seconds, Flips=82
Genetic Run 2: Time=1.0275 seconds, Flips=81
Genetic Run 3: Time=1.0062 seconds, Flips=82
Genetic Run 4: Time=1.0087 seconds, Flips=82
Genetic Run 5: Time=0.9849 seconds, Flips=82
Genetic Run 6: Time=1.0407 seconds, Flips=82
Genetic Run 7: Time=1.0003 seconds, Flips=82
Genetic Run 8: Time=1.0099 seconds, Flips=80
Genetic Run 9: Time=1.0003 seconds, Flips=82
Genetic Run 10: Time=1.0130 seconds, Flips=82

Formula 9
DPLL: Time=0.0017 seconds, Nodes expanded=14
WalkSAT Run 1: Time=0.3480 seconds, Max satisfied=83
WalkSAT Run 2: Time=0.3471 seconds, Max satisfied=83
WalkSAT Run 3: Time=0.3447 seconds, Max satisfied=83
WalkSAT Run 4: Time=0.3400 seconds, Max satisfied=83
WalkSAT Run 5: Time=0.3449 seconds, Max satisfied=83
WalkSAT Run 6: Time=0.3477 seconds, Max satisfied=83
WalkSAT Run 7: Time=0.0004 seconds, Flips=84
WalkSAT Run 8: Time=0.3581 seconds, Max satisfied=83
WalkSAT Run 9: Time=0.3536 seconds, Max satisfied=83
WalkSAT Run 10: Time=0.3503 seconds, Max satisfied=83
Genetic Run 1: Time=1.0869 seconds, Flips=81
Genetic Run 2: Time=1.0165 seconds, Flips=82
Genetic Run 3: Time=1.0568 seconds, Flips=82
Genetic Run 4: Time=1.0236 seconds, Flips=82
Genetic Run 5: Time=1.0249 seconds, Flips=83
Genetic Run 6: Time=1.0629 seconds, Flips=83
Genetic Run 7: Time=1.0297 seconds, Flips=83
Genetic Run 8: Time=1.0181 seconds, Flips=82
Genetic Run 9: Time=0.9927 seconds, Flips=83
Genetic Run 10: Time=0.9892 seconds, Flips=83

Formula 10
DPLL: Time=0.0067 seconds, Nodes expanded=49
WalkSAT Run 1: Time=0.3475 seconds, Max satisfied=82
WalkSAT Run 2: Time=0.3448 seconds, Max satisfied=82
WalkSAT Run 3: Time=0.3484 seconds, Max satisfied=82
WalkSAT Run 4: Time=0.3483 seconds, Max satisfied=82
WalkSAT Run 5: Time=0.3449 seconds, Max satisfied=82
WalkSAT Run 6: Time=0.3459 seconds, Max satisfied=82
WalkSAT Run 7: Time=0.3500 seconds, Max satisfied=82
WalkSAT Run 8: Time=0.3520 seconds, Max satisfied=82
WalkSAT Run 9: Time=0.3461 seconds, Max satisfied=82
WalkSAT Run 10: Time=0.3463 seconds, Max satisfied=82
Genetic Run 1: Time=0.9999 seconds, Flips=82
Genetic Run 2: Time=0.9491 seconds, Flips=83
